Type,Icon,Description
access,♿,"Improvement for accessibility"
config,🔧,"Change to build configs, scripts, or external dependencies"
git,🙈,"A change to the .gitignore / .gitkeep files, or other git changes"
merge,🔀,"Merging branches"
convenience,🏃,"Scripts to speed up development"
i18n,🌐,"Internationalization and localization"
---
init,🎉,"The first commit of a new project or feature"
api,❗,"API addition, deprecation, or deletion"
fix,✔️,"Fix a bug or get a test working"
hotfix,🚨,"Critical hotfix"
---
script,🖥️,"Scripts"
sprite,👾,"Images for sprites"
sfx,🔊,"Sound effects"
music,🎵,"Music"
ui,📱,"User interface"
---
camera,🎥,"Camera-related changes"
character,👤,"Character-related changes"
